--------------------------------------------------------------------------
By default, for Open MPI 4.0 and later, infiniband ports on a device
are not used by default.  The intent is to use UCX for these devices.
You can override this policy by setting the btl_openib_allow_ib MCA parameter
to true.

  Local host:              samsara
  Local adapter:           mlx5_2
  Local port:              1

--------------------------------------------------------------------------
--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   samsara
  Local device: mlx5_2
--------------------------------------------------------------------------
% MAGMA 2.5.4  compiled for CUDA capability >= 7.0, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 11000, driver 11020. OpenMP threads 20. 
% device 0: Tesla V100-SXM2-16GB, 1530.0 MHz clock, 16160.5 MiB memory, capability 7.0
% device 1: Tesla V100-SXM2-16GB, 1530.0 MHz clock, 16160.5 MiB memory, capability 7.0
% device 2: Tesla V100-SXM2-16GB, 1530.0 MHz clock, 16160.5 MiB memory, capability 7.0
% device 3: Tesla V100-SXM2-16GB, 1530.0 MHz clock, 16160.5 MiB memory, capability 7.0
% Mon Mar 22 04:37:32 2021
world size (GPU number) is 4
Aurow 5000 Aucol 1250 Avrow 1250 Avcol 5000 nt 25 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
Aurow 5000 Aucol 1250 Avrow 1250 Avcol 5000 nt 25 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
nruns is 2000 
Aurow 5000 Aucol 1250 Avrow 1250 Avcol 5000 nt 25 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
Aurow 5000 Aucol 1250 Avrow 1250 Avcol 5000 nt 25 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
nruns is 2000 
nruns is 2000 
nruns is 2000 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000162 BandWidth: 2471.49 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2421.56 
Times: 0.000163 BandWidth: 2457.01 
Times: 0.000167 BandWidth: 2397.34 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000163 BandWidth: 2457.01 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000167 BandWidth: 2397.34 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000167 BandWidth: 2397.34 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.001834 BandWidth: 218.17 
Times: 0.000167 BandWidth: 2393.92 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000163 BandWidth: 2453.42 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000167 BandWidth: 2393.92 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000163 BandWidth: 2453.42 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2421.56 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2421.56 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000163 BandWidth: 2453.42 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000163 BandWidth: 2453.42 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000167 BandWidth: 2393.92 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000167 BandWidth: 2397.34 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000163 BandWidth: 2453.42 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000168 BandWidth: 2383.72 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000165 BandWidth: 2421.56 
Times: 0.000167 BandWidth: 2393.92 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000163 BandWidth: 2457.01 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000167 BandWidth: 2393.92 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000163 BandWidth: 2453.42 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000162 BandWidth: 2471.49 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000163 BandWidth: 2453.42 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000163 BandWidth: 2453.42 
Times: 0.000163 BandWidth: 2453.42 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000167 BandWidth: 2393.92 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2421.56 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2421.56 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000167 BandWidth: 2393.92 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.003065 BandWidth: 130.54 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000167 BandWidth: 2393.92 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.001703 BandWidth: 234.94 
Times: 0.000170 BandWidth: 2353.63 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000167 BandWidth: 2393.92 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000163 BandWidth: 2457.01 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000167 BandWidth: 2397.34 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000163 BandWidth: 2457.01 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000167 BandWidth: 2393.92 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000167 BandWidth: 2397.34 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000163 BandWidth: 2453.42 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2421.56 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000163 BandWidth: 2453.42 
Times: 0.000167 BandWidth: 2397.34 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000168 BandWidth: 2380.34 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000165 BandWidth: 2421.56 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000167 BandWidth: 2397.34 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000163 BandWidth: 2457.01 
Times: 0.000163 BandWidth: 2453.42 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000167 BandWidth: 2397.34 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000163 BandWidth: 2453.42 
Times: 0.000167 BandWidth: 2393.92 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000163 BandWidth: 2457.01 
Times: 0.000163 BandWidth: 2453.42 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000163 BandWidth: 2453.42 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000163 BandWidth: 2453.42 
Times: 0.000165 BandWidth: 2421.56 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000167 BandWidth: 2397.34 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000167 BandWidth: 2393.92 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000163 BandWidth: 2453.42 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000167 BandWidth: 2393.92 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000165 BandWidth: 2421.56 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000163 BandWidth: 2453.42 
Times: 0.000167 BandWidth: 2393.92 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000163 BandWidth: 2457.01 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000162 BandWidth: 2467.85 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2421.56 
Times: 0.000163 BandWidth: 2453.42 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000167 BandWidth: 2397.34 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000163 BandWidth: 2453.42 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000165 BandWidth: 2421.56 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000167 BandWidth: 2393.92 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000163 BandWidth: 2453.42 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000167 BandWidth: 2397.34 
Times: 0.000167 BandWidth: 2393.92 
Times: 0.000167 BandWidth: 2397.34 
Times: 0.000165 BandWidth: 2421.56 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000163 BandWidth: 2453.42 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000168 BandWidth: 2383.72 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000163 BandWidth: 2453.42 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000163 BandWidth: 2453.42 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000167 BandWidth: 2393.92 
Times: 0.000164 BandWidth: 2442.71 
Times: 0.000163 BandWidth: 2457.01 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000167 BandWidth: 2397.34 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000166 BandWidth: 2411.12 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000167 BandWidth: 2397.34 
Times: 0.000166 BandWidth: 2407.66 
Times: 0.000165 BandWidth: 2421.56 
Times: 0.000163 BandWidth: 2457.01 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000165 BandWidth: 2425.06 
Times: 0.000164 BandWidth: 2439.16 
Times: 0.000163 BandWidth: 2453.42 
Times: 0.000162 BandWidth: 2471.49 
Times: 0.000158 BandWidth: 2531.13 
Times: 0.000157 BandWidth: 2550.37 
Times: 0.000157 BandWidth: 2546.50 
Times: 0.000157 BandWidth: 2550.37 
Times: 0.000158 BandWidth: 2531.13 
Times: 0.000158 BandWidth: 2531.13 
Times: 0.000157 BandWidth: 2550.37 
Times: 0.000159 BandWidth: 2515.95 
Times: 0.000158 BandWidth: 2534.96 
Times: 0.000156 BandWidth: 2562.05 
Times: 0.000158 BandWidth: 2534.96 
Times: 0.000158 BandWidth: 2531.13 
Times: 0.000158 BandWidth: 2534.96 
Times: 0.000157 BandWidth: 2546.50 
Times: 0.000159 BandWidth: 2515.95 
Times: 0.000157 BandWidth: 2546.50 
Times: 0.000157 BandWidth: 2550.37 
Times: 0.000156 BandWidth: 2562.05 
Times: 0.000156 BandWidth: 2565.96 
Times: 0.000157 BandWidth: 2550.37 
Times: 0.000158 BandWidth: 2531.13 
Times: 0.000157 BandWidth: 2550.37 
Times: 0.000158 BandWidth: 2531.13 
Times: 0.000158 BandWidth: 2534.96 
Times: 0.000157 BandWidth: 2546.50 
Times: 0.000157 BandWidth: 2550.37 
Times: 0.000158 BandWidth: 2531.13 
Times: 0.000158 BandWidth: 2534.96 
Times: 0.000156 BandWidth: 2562.05 
Times: 0.000159 BandWidth: 2515.95 
Times: 0.000158 BandWidth: 2531.13 
Times: 0.000157 BandWidth: 2550.37 
Times: 0.000157 BandWidth: 2546.50 
Times: 0.000157 BandWidth: 2550.37 
Times: 0.000157 BandWidth: 2550.37 
Times: 0.000158 BandWidth: 2531.13 
Times: 0.000157 BandWidth: 2550.37 
