--------------------------------------------------------------------------
By default, for Open MPI 4.0 and later, infiniband ports on a device
are not used by default.  The intent is to use UCX for these devices.
You can override this policy by setting the btl_openib_allow_ib MCA parameter
to true.

  Local host:              samsara
  Local adapter:           mlx5_2
  Local port:              1

--------------------------------------------------------------------------
--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   samsara
  Local device: mlx5_2
--------------------------------------------------------------------------
% MAGMA 2.5.4  compiled for CUDA capability >= 7.0, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 11000, driver 11020. OpenMP threads 1. 
% device 0: Tesla V100-SXM2-16GB, 1530.0 MHz clock, 16160.5 MiB memory, capability 7.0
% device 1: Tesla V100-SXM2-16GB, 1530.0 MHz clock, 16160.5 MiB memory, capability 7.0
% device 2: Tesla V100-SXM2-16GB, 1530.0 MHz clock, 16160.5 MiB memory, capability 7.0
% device 3: Tesla V100-SXM2-16GB, 1530.0 MHz clock, 16160.5 MiB memory, capability 7.0
% Mon Mar 22 04:36:39 2021
world size (GPU number) is 1
Aurow 5000 Aucol 5000 Avrow 1250 Avcol 20000 nt 100 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
nruns is 2000 
Times: 0.000486 BandWidth: 823.43 
Times: 0.000486 BandWidth: 823.43 
Times: 0.000487 BandWidth: 821.81 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000483 BandWidth: 828.71 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000485 BandWidth: 824.64 
Times: 0.000481 BandWidth: 832.00 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000486 BandWidth: 823.02 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000480 BandWidth: 833.65 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000486 BandWidth: 823.43 
Times: 0.000480 BandWidth: 833.65 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000478 BandWidth: 837.40 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000484 BandWidth: 826.26 
Times: 0.000486 BandWidth: 823.43 
Times: 0.000480 BandWidth: 833.65 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000486 BandWidth: 823.02 
Times: 0.000488 BandWidth: 819.81 
Times: 0.000488 BandWidth: 819.81 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000485 BandWidth: 824.64 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000483 BandWidth: 828.71 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000486 BandWidth: 823.43 
Times: 0.000487 BandWidth: 821.81 
Times: 0.000488 BandWidth: 819.81 
Times: 0.000480 BandWidth: 833.65 
Times: 0.000492 BandWidth: 813.45 
Times: 0.000487 BandWidth: 821.41 
Times: 0.000489 BandWidth: 818.21 
Times: 0.000490 BandWidth: 816.61 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000479 BandWidth: 835.31 
Times: 0.000481 BandWidth: 832.00 
Times: 0.000487 BandWidth: 821.81 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000483 BandWidth: 828.71 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000487 BandWidth: 821.81 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000487 BandWidth: 821.81 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000487 BandWidth: 821.41 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000487 BandWidth: 821.81 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000487 BandWidth: 821.41 
Times: 0.000478 BandWidth: 836.98 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000483 BandWidth: 828.71 
Times: 0.000480 BandWidth: 833.65 
Times: 0.000481 BandWidth: 832.00 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000487 BandWidth: 821.41 
Times: 0.000484 BandWidth: 826.26 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000485 BandWidth: 824.64 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000489 BandWidth: 818.21 
Times: 0.000483 BandWidth: 828.71 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000486 BandWidth: 823.02 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000485 BandWidth: 824.64 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000485 BandWidth: 824.64 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000485 BandWidth: 824.64 
Times: 0.000486 BandWidth: 823.02 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000483 BandWidth: 828.71 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000492 BandWidth: 813.45 
Times: 0.000486 BandWidth: 823.43 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000485 BandWidth: 824.64 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000479 BandWidth: 834.90 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000481 BandWidth: 832.00 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000485 BandWidth: 824.64 
Times: 0.000485 BandWidth: 824.64 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000481 BandWidth: 832.00 
Times: 0.000483 BandWidth: 828.71 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000486 BandWidth: 823.43 
Times: 0.000485 BandWidth: 824.64 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000480 BandWidth: 833.65 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000479 BandWidth: 834.90 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000488 BandWidth: 819.81 
Times: 0.000481 BandWidth: 832.00 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000487 BandWidth: 821.41 
Times: 0.000490 BandWidth: 816.22 
Times: 0.000488 BandWidth: 819.81 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000479 BandWidth: 835.31 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000485 BandWidth: 824.64 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000487 BandWidth: 821.81 
Times: 0.000480 BandWidth: 833.65 
Times: 0.000488 BandWidth: 820.21 
Times: 0.000486 BandWidth: 823.02 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000486 BandWidth: 823.43 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000480 BandWidth: 833.65 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000481 BandWidth: 832.00 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000489 BandWidth: 818.21 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000486 BandWidth: 823.02 
Times: 0.000488 BandWidth: 819.81 
Times: 0.000486 BandWidth: 823.43 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000479 BandWidth: 835.31 
Times: 0.000484 BandWidth: 826.26 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000481 BandWidth: 832.00 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000486 BandWidth: 823.02 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000485 BandWidth: 824.64 
Times: 0.000486 BandWidth: 823.43 
Times: 0.000486 BandWidth: 823.43 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000486 BandWidth: 823.02 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000480 BandWidth: 833.65 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000479 BandWidth: 835.31 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000480 BandWidth: 833.65 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000487 BandWidth: 821.81 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000489 BandWidth: 818.21 
Times: 0.000486 BandWidth: 823.43 
Times: 0.000480 BandWidth: 833.65 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000481 BandWidth: 832.00 
Times: 0.000487 BandWidth: 821.81 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000483 BandWidth: 828.71 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000486 BandWidth: 823.02 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000487 BandWidth: 821.81 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000486 BandWidth: 823.43 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000479 BandWidth: 835.31 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000483 BandWidth: 828.71 
Times: 0.000487 BandWidth: 821.41 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000480 BandWidth: 833.24 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000481 BandWidth: 832.00 
Times: 0.000487 BandWidth: 821.81 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000481 BandWidth: 832.00 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000480 BandWidth: 833.65 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000480 BandWidth: 833.65 
Times: 0.000480 BandWidth: 833.65 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000485 BandWidth: 824.64 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000479 BandWidth: 834.90 
Times: 0.000486 BandWidth: 823.43 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000486 BandWidth: 823.43 
Times: 0.000479 BandWidth: 835.31 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000494 BandWidth: 809.91 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000489 BandWidth: 818.21 
Times: 0.000483 BandWidth: 828.71 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000479 BandWidth: 835.31 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000486 BandWidth: 823.02 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000480 BandWidth: 833.65 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000489 BandWidth: 818.21 
Times: 0.000485 BandWidth: 824.64 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000484 BandWidth: 826.26 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000485 BandWidth: 824.64 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000485 BandWidth: 824.64 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000483 BandWidth: 828.71 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000487 BandWidth: 821.41 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000483 BandWidth: 828.71 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000486 BandWidth: 823.02 
Times: 0.000486 BandWidth: 823.02 
Times: 0.000479 BandWidth: 835.31 
Times: 0.000481 BandWidth: 832.00 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000485 BandWidth: 824.64 
Times: 0.000487 BandWidth: 821.41 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000485 BandWidth: 824.64 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000480 BandWidth: 833.24 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000487 BandWidth: 821.81 
Times: 0.000486 BandWidth: 823.43 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000487 BandWidth: 821.41 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000485 BandWidth: 824.64 
Times: 0.000486 BandWidth: 823.43 
Times: 0.000489 BandWidth: 818.21 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000481 BandWidth: 832.00 
Times: 0.000489 BandWidth: 818.21 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000480 BandWidth: 833.65 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000486 BandWidth: 823.43 
Times: 0.000488 BandWidth: 820.21 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000485 BandWidth: 824.64 
Times: 0.000485 BandWidth: 824.64 
Times: 0.000486 BandWidth: 823.43 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000480 BandWidth: 833.65 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000483 BandWidth: 828.71 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000486 BandWidth: 823.43 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000486 BandWidth: 823.43 
Times: 0.000486 BandWidth: 823.43 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000485 BandWidth: 824.64 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000480 BandWidth: 833.65 
Times: 0.000487 BandWidth: 821.81 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000486 BandWidth: 823.02 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000486 BandWidth: 823.43 
Times: 0.000480 BandWidth: 833.65 
Times: 0.000486 BandWidth: 823.43 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000487 BandWidth: 821.41 
Times: 0.000478 BandWidth: 836.98 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000483 BandWidth: 828.71 
Times: 0.000481 BandWidth: 832.00 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000483 BandWidth: 828.71 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000485 BandWidth: 824.64 
Times: 0.000485 BandWidth: 824.64 
Times: 0.000479 BandWidth: 835.31 
Times: 0.000486 BandWidth: 823.43 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000486 BandWidth: 823.43 
Times: 0.000487 BandWidth: 821.41 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000483 BandWidth: 828.71 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000480 BandWidth: 833.65 
Times: 0.000487 BandWidth: 821.41 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000480 BandWidth: 833.65 
Times: 0.000480 BandWidth: 833.24 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000486 BandWidth: 823.02 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000480 BandWidth: 833.24 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000490 BandWidth: 816.61 
Times: 0.000481 BandWidth: 832.00 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000481 BandWidth: 832.00 
Times: 0.000485 BandWidth: 824.64 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000480 BandWidth: 833.65 
Times: 0.000486 BandWidth: 823.02 
Times: 0.000480 BandWidth: 833.24 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000481 BandWidth: 832.00 
Times: 0.000487 BandWidth: 821.41 
Times: 0.000483 BandWidth: 828.71 
Times: 0.000481 BandWidth: 832.00 
Times: 0.000481 BandWidth: 832.00 
Times: 0.000481 BandWidth: 832.00 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000487 BandWidth: 821.81 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000486 BandWidth: 823.02 
Times: 0.000488 BandWidth: 819.81 
Times: 0.000488 BandWidth: 819.81 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000489 BandWidth: 818.21 
Times: 0.000481 BandWidth: 832.00 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000481 BandWidth: 832.00 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000481 BandWidth: 832.00 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000488 BandWidth: 819.81 
Times: 0.000481 BandWidth: 832.00 
Times: 0.000486 BandWidth: 823.43 
Times: 0.000483 BandWidth: 828.71 
Times: 0.000487 BandWidth: 821.41 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000483 BandWidth: 828.71 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000479 BandWidth: 835.31 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000478 BandWidth: 836.98 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000490 BandWidth: 816.61 
Times: 0.000479 BandWidth: 835.31 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000480 BandWidth: 833.65 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000479 BandWidth: 835.31 
Times: 0.000480 BandWidth: 833.65 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000485 BandWidth: 824.64 
Times: 0.000479 BandWidth: 835.31 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000487 BandWidth: 821.41 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000481 BandWidth: 832.00 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000485 BandWidth: 824.64 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000480 BandWidth: 833.65 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000487 BandWidth: 821.81 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000485 BandWidth: 824.64 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000486 BandWidth: 823.02 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000480 BandWidth: 833.65 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000488 BandWidth: 819.81 
Times: 0.000485 BandWidth: 824.64 
Times: 0.000483 BandWidth: 828.71 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000480 BandWidth: 833.65 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000486 BandWidth: 823.02 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000486 BandWidth: 823.02 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000480 BandWidth: 833.65 
Times: 0.000488 BandWidth: 820.21 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000488 BandWidth: 819.81 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000488 BandWidth: 819.81 
Times: 0.000487 BandWidth: 821.41 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000486 BandWidth: 823.02 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000480 BandWidth: 833.24 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000487 BandWidth: 821.41 
Times: 0.000480 BandWidth: 833.24 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000490 BandWidth: 816.22 
Times: 0.000488 BandWidth: 819.81 
Times: 0.000489 BandWidth: 818.21 
Times: 0.000482 BandWidth: 830.35 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000482 BandWidth: 829.94 
Times: 0.000487 BandWidth: 821.41 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000484 BandWidth: 826.67 
Times: 0.000486 BandWidth: 823.43 
Times: 0.000479 BandWidth: 834.90 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000481 BandWidth: 832.00 
Times: 0.000481 BandWidth: 832.00 
Times: 0.000487 BandWidth: 821.41 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000487 BandWidth: 821.81 
Times: 0.000490 BandWidth: 816.61 
